trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.2, 'e': 0.07283986746320946}",25,14,7.413987974111462,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.07065467143931317}",20,7,3.068291456967451,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.06853503129613378}",30,13,26.753570622100884,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.06647898035724976}",35,18,21.181948424990658,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.06448461094653227}",25,10,21.132115915388823,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.06255007261813629}",20,6,24.8789387250498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.0606735704395922}",25,17,-27.422368510400123,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.2, 'e': 0.05885336332640443}",25,16,17.48529845520707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.057087762426612294}",25,17,17.618984069590415,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.05537512955381393}",25,3,13.229248181694905,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.053713875667199505}",25,0,-6.876065404256619,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.2, 'e': 0.05210245939718352}",25,10,23.596744819435287,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.05053938561526801}",30,18,-22.326612032678785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.2, 'e': 0.049023204046809966}",25,15,-24.76407883228994,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,13,31.40576329407176,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,19.945116975827382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,7,33.66031235558322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,18,14.826319163369757,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,12.402915033609048,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,17.83734984125121,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,12.632634041666805,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,23.78411806288353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,7.2292766454743775,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,8,40.3962349883954,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,12,14.587490987118157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,10,19.25103861267383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,12,12.282592298027904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,0,27.403305367252933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,12,23.525229116470705,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,3,29.423064591998173,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,18,11.80056938273983,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,8.27304976253649,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,20,17.30690979234927,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",35,25,17.292413142614407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
